"Kod";"Nazwa";"ogółem;2023;[zł]";
3014000;"Powiat międzychodzki";86715202,97;
3015000;"Powiat nowotomyski";117598275,23;
3016000;"Powiat obornicki";101674537,44;
3017000;"Powiat ostrowski";272317209,17;
3018000;"Powiat ostrzeszowski";138160577,31;
3019000;"Powiat pilski";274127555,50;
3020000;"Powiat pleszewski";134390879,93;
3021000;"Powiat poznański";458314672,47;
3022000;"Powiat rawicki";115751848,73;
3023000;"Powiat słupecki";218863713,31;
3024000;"Powiat szamotulski";128303842,62;
3025000;"Powiat średzki";102651842,34;
3026000;"Powiat śremski";112463536,47;
3027000;"Powiat turecki";143464155,21;
3028000;"Powiat wągrowiecki";119720667,23;
3029000;"Powiat wolsztyński";130210178,37;
3030000;"Powiat wrzesiński";131574679,70;
3031000;"Powiat złotowski";122687861,40;
3201000;"Powiat białogardzki";94853652,16;
3202000;"Powiat choszczeński";86454806,33;
3203000;"Powiat drawski";128304062,25;
3204000;"Powiat goleniowski";136583271,84;
3205000;"Powiat gryficki";109984744,74;
3206000;"Powiat gryfiński";128046952,62;
3207000;"Powiat kamieński";89888164,25;
3208000;"Powiat kołobrzeski";171929054,77;
3209000;"Powiat koszaliński";162195297,67;
3210000;"Powiat myśliborski";146756765,71;
3211000;"Powiat policki";171079647,51;
3212000;"Powiat pyrzycki";80390462,55;
3213000;"Powiat sławieński";95743538,88;
3214000;"Powiat stargardzki";181836873,80;
3215000;"Powiat szczecinecki";188819283,31;
3216000;"Powiat świdwiński";101987564,35;
3217000;"Powiat wałecki";83439875,36;
3218000;"Powiat łobeski";88217812,46;
